Pathway_name	Pathway_code	DE_genes	Pathway_size	Fraction_DE	Padj	DE_genes_names
purine ribonucleotide binding	GO:0032555	117	1810	0.0646	0.0095	117
tetrapyrrole binding	GO:0046906	19	147	0.1293	0.0144	19
enzyme inhibitor activity	GO:0004857	33	345	0.0957	0.0149	33
metalloendopeptidase activity	GO:0004222	15	99	0.1515	0.0156	15
protein homodimerization activity	GO:0042803	55	705	0.078	0.0174	55
purine ribonucleoside triphosphate binding	GO:0035639	113	1763	0.0641	0.019	113
enzyme regulator activity	GO:0030234	80	1151	0.0695	0.0204	80
serine-type endopeptidase inhibitor activity	GO:0004867	14	90	0.1556	0.0212	14
organic hydroxy compound transmembrane transporter activity	GO:1901618	10	49	0.2041	0.0256	10
kinase binding	GO:0019900	61	822	0.0742	0.0284	61
chlordecone reductase activity	GO:0047743	4	6	0.6667	0.0302	4
monocarboxylic acid binding	GO:0033293	13	83	0.1566	0.0371	13
iron ion binding	GO:0005506	20	172	0.1163	0.0413	20
PDZ domain binding	GO:0030165	15	108	0.1389	0.0439	15
structural molecule activity	GO:0005198	50	645	0.0775	0.0461	50
