Pathway_name	Pathway_code	DE_genes	Pathway_size	Fraction_DE	Padj	DE_genes_names
animal organ morphogenesis	GO:0009887	127	952	0.1334	0	127
epithelium development	GO:0060429	142	1147	0.1238	0	142
tube development	GO:0035295	134	1070	0.1252	0	134
response to endogenous stimulus	GO:0009719	160	1434	0.1116	0	160
neuron development	GO:0048666	140	1163	0.1204	0	140
metabolic process	GO:0008152	649	10505	0.0618	0	649
locomotion	GO:0040011	138	1147	0.1203	0	138
cell adhesion	GO:0007155	147	1295	0.1135	0	147
neuron projection development	GO:0031175	128	1036	0.1236	0	128
cell population proliferation	GO:0008283	188	1901	0.0989	0	188
regulation of cell population proliferation	GO:0042127	166	1580	0.1051	0	166
regulation of metabolic process	GO:0019222	406	5711	0.0711	0	406
cellular response to chemical stimulus	GO:0070887	198	2075	0.0954	0	198
positive regulation of multicellular organismal process	GO:0051240	167	1614	0.1035	0	167
tissue morphogenesis	GO:0048729	90	585	0.1538	0	90
regulation of response to stimulus	GO:0048583	290	3629	0.0799	0	290
regulation of cell differentiation	GO:0045595	158	1493	0.1058	0	158
regulation of macromolecule metabolic process	GO:0060255	376	5212	0.0721	0	376
regulation of locomotion	GO:0040012	122	1005	0.1214	0	122
regulation of biosynthetic process	GO:0009889	345	4666	0.0739	0	345
regulation of cell motility	GO:2000145	118	968	0.1219	0	118
plasma membrane bounded cell projection organization	GO:0120036	158	1535	0.1029	0	158
regulation of multicellular organismal development	GO:2000026	148	1389	0.1066	0	148
cell projection organization	GO:0030030	160	1574	0.1017	0	160
regulation of macromolecule biosynthetic process	GO:0010556	332	4480	0.0741	0	332
tube morphogenesis	GO:0035239	108	847	0.1275	0	108
regulation of gene expression	GO:0010468	325	4369	0.0744	0	325
positive regulation of developmental process	GO:0051094	142	1326	0.1071	0	142
circulatory system development	GO:0072359	126	1103	0.1142	0	126
cellular component organization	GO:0016043	417	6125	0.0681	0	417
negative regulation of multicellular organismal process	GO:0051241	125	1091	0.1146	0	125
regulation of signal transduction	GO:0009966	233	2774	0.084	0	233
regulation of cell migration	GO:0030334	112	919	0.1219	0	112
regulation of cellular component organization	GO:0051128	206	2345	0.0878	0	206
cell morphogenesis	GO:0000902	113	953	0.1186	0	113
positive regulation of biosynthetic process	GO:0009891	216	2535	0.0852	0	216
cellular response to endogenous stimulus	GO:0071495	126	1148	0.1098	0	126
system process	GO:0003008	172	1855	0.0927	0	172
anatomical structure formation involved in morphogenesis	GO:0048646	121	1095	0.1105	0	121
cellular component organization or biogenesis	GO:0071840	419	6327	0.0662	0	419
small molecule metabolic process	GO:0044281	158	1659	0.0952	0	158
positive regulation of macromolecule biosynthetic process	GO:0010557	204	2415	0.0845	0	204
positive regulation of metabolic process	GO:0009893	258	3353	0.0769	0	258
regulation of primary metabolic process	GO:0080090	332	4709	0.0705	0	332
regulation of cell development	GO:0060284	100	833	0.12	0	100
positive regulation of macromolecule metabolic process	GO:0010604	238	3052	0.078	0	238
cell junction organization	GO:0034330	90	724	0.1243	0	90
response to external stimulus	GO:0009605	183	2124	0.0862	0	183
positive regulation of cell motility	GO:2000147	77	561	0.1373	0	77
negative regulation of cell differentiation	GO:0045596	84	651	0.129	0	84
response to oxygen-containing compound	GO:1901700	155	1680	0.0923	0	155
positive regulation of locomotion	GO:0040017	78	576	0.1354	0	78
localization	GO:0051179	338	4909	0.0689	0	338
homeostatic process	GO:0042592	151	1621	0.0932	0	151
embryo development	GO:0009790	118	1130	0.1044	0	118
cell projection morphogenesis	GO:0048858	84	661	0.1271	0	84
growth	GO:0040007	105	948	0.1108	0	105
intracellular signal transduction	GO:0035556	212	2654	0.0799	0	212
plasma membrane bounded cell projection morphogenesis	GO:0120039	83	654	0.1269	0	83
enzyme-linked receptor protein signaling pathway	GO:0007167	99	872	0.1135	0	99
cell-cell adhesion	GO:0098609	95	818	0.1161	0	95
positive regulation of cell differentiation	GO:0045597	98	860	0.114	0	98
response to stress	GO:0006950	259	3498	0.074	0	259
primary metabolic process	GO:0044238	556	9388	0.0592	0	556
regulation of cell projection organization	GO:0031344	87	717	0.1213	0	87
regulation of plasma membrane bounded cell projection organization	GO:0120035	86	704	0.1222	0	86
mesenchyme development	GO:0060485	50	275	0.1818	0	50
neuron projection morphogenesis	GO:0048812	81	640	0.1266	0	81
regulation of hormone levels	GO:0010817	74	552	0.1341	0	74
embryonic organ development	GO:0048568	65	447	0.1454	0	65
negative regulation of developmental process	GO:0051093	100	905	0.1105	0	100
intracellular signaling cassette	GO:0141124	150	1660	0.0904	0	150
transport	GO:0006810	284	3996	0.0711	0	284
regulation of neuron projection development	GO:0010975	71	526	0.135	0	71
positive regulation of cell migration	GO:0030335	72	539	0.1336	0	72
embryonic morphogenesis	GO:0048598	75	582	0.1289	0	75
pattern specification process	GO:0007389	59	387	0.1525	0	59
negative regulation of response to stimulus	GO:0048585	145	1604	0.0904	0	145
immune system process	GO:0002376	182	2215	0.0822	0	182
morphogenesis of an epithelium	GO:0002009	67	484	0.1384	0	67
sensory organ development	GO:0007423	72	550	0.1309	0	72
axon development	GO:0061564	67	488	0.1373	0	67
cell-cell signaling	GO:0007267	113	1125	0.1004	0	113
biosynthetic process	GO:0009058	455	7413	0.0614	0	455
axonogenesis	GO:0007409	62	432	0.1435	0	62
establishment of localization	GO:0051234	295	4271	0.0691	0	295
regulation of anatomical structure morphogenesis	GO:0022603	93	842	0.1105	0	93
axon guidance	GO:0007411	42	216	0.1944	0	42
neuron projection guidance	GO:0097485	42	216	0.1944	0	42
positive regulation of gene expression	GO:0010628	113	1136	0.0995	0	113
secretion	GO:0046903	101	959	0.1053	0	101
positive regulation of cell population proliferation	GO:0008284	99	931	0.1063	0	99
ear development	GO:0043583	41	208	0.1971	0	41
regulation of immune system process	GO:0002682	129	1394	0.0925	0	129
inner ear development	GO:0048839	38	182	0.2088	0	38
regulation of cell adhesion	GO:0030155	83	719	0.1154	0	83
response to growth factor	GO:0070848	80	681	0.1175	0	80
cell morphogenesis involved in neuron differentiation	GO:0048667	73	589	0.1239	0	73
negative regulation of signaling	GO:0023057	126	1359	0.0927	0	126
cellular response to growth factor stimulus	GO:0071363	78	656	0.1189	0	78
negative regulation of cell communication	GO:0010648	126	1362	0.0925	0	126
blood vessel development	GO:0001568	81	699	0.1159	0	81
vasculature development	GO:0001944	83	727	0.1142	0	83
central nervous system development	GO:0007417	94	885	0.1062	0	94
positive regulation of response to stimulus	GO:0048584	172	2124	0.081	0	172
morphogenesis of a branching epithelium	GO:0061138	38	189	0.2011	0	38
head development	GO:0060322	80	692	0.1156	0	80
brain development	GO:0007420	76	641	0.1186	0	76
forebrain development	GO:0030900	56	387	0.1447	0	56
regionalization	GO:0003002	53	352	0.1506	0	53
heart development	GO:0007507	72	589	0.1222	0	72
chemical homeostasis	GO:0048878	99	970	0.1021	0	99
lipid metabolic process	GO:0006629	118	1258	0.0938	0	118
blood vessel morphogenesis	GO:0048514	73	606	0.1205	0	73
morphogenesis of a branching structure	GO:0001763	39	204	0.1912	0	39
embryonic organ morphogenesis	GO:0048562	46	278	0.1655	0	46
regulation of growth	GO:0040008	72	597	0.1206	0	72
developmental growth	GO:0048589	81	720	0.1125	0	81
positive regulation of cell communication	GO:0010647	145	1705	0.085	0	145
positive regulation of signaling	GO:0023056	145	1705	0.085	0	145
negative regulation of metabolic process	GO:0009892	204	2718	0.0751	0	204
response to organic cyclic compound	GO:0014070	96	939	0.1022	0	96
regulation of localization	GO:0032879	160	1963	0.0815	0	160
secretion by cell	GO:0032940	87	813	0.107	0	87
regulation of response to external stimulus	GO:0032101	99	992	0.0998	0	99
epithelial cell differentiation	GO:0030855	76	665	0.1143	0	76
export from cell	GO:0140352	91	879	0.1035	0	91
cell junction assembly	GO:0034329	56	406	0.1379	0	56
regulation of DNA-templated transcription	GO:0006355	211	2877	0.0733	0	211
macromolecule metabolic process	GO:0043170	502	8623	0.0582	0	502
regulation of RNA biosynthetic process	GO:2001141	211	2887	0.0731	0	211
monocarboxylic acid metabolic process	GO:0032787	73	632	0.1155	0	73
negative regulation of cell adhesion	GO:0007162	46	293	0.157	0	46
signal release	GO:0023061	64	513	0.1248	0	64
oxoacid metabolic process	GO:0043436	90	875	0.1029	0	90
gland development	GO:0048732	61	475	0.1284	0	61
regulation of RNA metabolic process	GO:0051252	223	3115	0.0716	0	223
organic acid metabolic process	GO:0006082	90	878	0.1025	0	90
programmed cell death	GO:0012501	154	1900	0.0811	0	154
cell death	GO:0008219	154	1900	0.0811	0	154
regulation of transcription by RNA polymerase II	GO:0006357	172	2215	0.0777	0	172
negative regulation of cell development	GO:0010721	45	287	0.1568	0	45
apoptotic process	GO:0006915	150	1841	0.0815	0	150
developmental growth involved in morphogenesis	GO:0060560	42	255	0.1647	0	42
response to hormone	GO:0009725	90	888	0.1014	0	90
mesenchymal cell differentiation	GO:0048762	39	223	0.1749	0	39
carboxylic acid metabolic process	GO:0019752	88	863	0.102	0	88
epithelial tube morphogenesis	GO:0060562	48	326	0.1472	0	48
negative regulation of macromolecule metabolic process	GO:0010605	187	2502	0.0747	0	187
regulation of intracellular signal transduction	GO:1902531	144	1759	0.0819	0	144
regulation of anatomical structure size	GO:0090066	63	517	0.1219	0	63
DNA-templated transcription	GO:0006351	214	2992	0.0715	0	214
branching morphogenesis of an epithelial tube	GO:0048754	32	157	0.2038	0	32
positive regulation of signal transduction	GO:0009967	126	1470	0.0857	0	126
negative regulation of cell population proliferation	GO:0008285	73	665	0.1098	0	73
response to lipid	GO:0033993	91	928	0.0981	0	91
negative regulation of biosynthetic process	GO:0009890	170	2230	0.0762	0	170
cellular response to oxygen-containing compound	GO:1901701	106	1166	0.0909	0	106
positive regulation of intracellular signal transduction	GO:1902533	97	1026	0.0945	0	97
cardiac chamber development	GO:0003205	32	164	0.1951	0	32
regulation of system process	GO:0044057	63	533	0.1182	0	63
regulation of nucleobase-containing compound metabolic process	GO:0019219	233	3385	0.0688	0	233
cardiac chamber morphogenesis	GO:0003206	27	119	0.2269	0	27
negative regulation of signal transduction	GO:0009968	110	1239	0.0888	0	110
respiratory system development	GO:0060541	39	241	0.1618	0	39
positive regulation of MAPK cascade	GO:0043410	54	422	0.128	0	54
positive regulation of cellular component organization	GO:0051130	103	1133	0.0909	0	103
negative regulation of macromolecule biosynthetic process	GO:0010558	164	2154	0.0761	0	164
transcription by RNA polymerase II	GO:0006366	172	2296	0.0749	0	172
muscle cell proliferation	GO:0033002	40	254	0.1575	0	40
circulatory system process	GO:0003013	59	489	0.1207	0	59
MAPK cascade	GO:0000165	73	683	0.1069	0	73
hormone transport	GO:0009914	48	349	0.1375	0	48
regulation of MAPK cascade	GO:0043408	67	599	0.1119	0	67
positive regulation of ERK1 and ERK2 cascade	GO:0070374	34	190	0.1789	0	34
connective tissue development	GO:0061448	42	278	0.1511	0	42
hormone secretion	GO:0046879	47	338	0.1391	0	47
transmembrane transport	GO:0055085	116	1353	0.0857	0	116
regulation of transport	GO:0051049	129	1568	0.0823	0	129
ERK1 and ERK2 cascade	GO:0070371	44	305	0.1443	0	44
regulation of nervous system development	GO:0051960	60	510	0.1176	0	60
renal system development	GO:0072001	46	333	0.1381	0	46
positive regulation of cell development	GO:0010720	57	474	0.1203	0	57
blood circulation	GO:0008015	56	461	0.1215	0	56
synapse organization	GO:0050808	58	488	0.1189	0	58
gland morphogenesis	GO:0022612	28	136	0.2059	0	28
small molecule biosynthetic process	GO:0044283	63	558	0.1129	0	63
positive regulation of cell projection organization	GO:0031346	52	411	0.1265	0	52
behavior	GO:0007610	71	672	0.1057	0	71
positive regulation of transcription by RNA polymerase II	GO:0045944	105	1194	0.0879	0	105
epithelial cell proliferation	GO:0050673	54	439	0.123	0	54
defense response	GO:0006952	124	1507	0.0823	0	124
external encapsulating structure organization	GO:0045229	42	291	0.1443	0	42
extracellular matrix organization	GO:0030198	42	291	0.1443	0	42
extracellular structure organization	GO:0043062	42	293	0.1433	0	42
phosphorus metabolic process	GO:0006793	165	2229	0.074	0	165
macromolecule biosynthetic process	GO:0009059	385	6486	0.0594	0	385
angiogenesis	GO:0001525	59	514	0.1148	0	59
multicellular organismal-level homeostasis	GO:0048871	78	789	0.0989	0	78
cell growth	GO:0016049	57	490	0.1163	0	57
muscle cell differentiation	GO:0042692	51	411	0.1241	0	51
regulation of ERK1 and ERK2 cascade	GO:0070372	41	286	0.1434	0	41
cell-cell adhesion via plasma-membrane adhesion molecules	GO:0098742	37	240	0.1542	0	37
phosphate-containing compound metabolic process	GO:0006796	164	2226	0.0737	0	164
organic hydroxy compound metabolic process	GO:1901615	58	507	0.1144	0	58
appendage development	GO:0048736	31	176	0.1761	0	31
limb development	GO:0060173	31	176	0.1761	0	31
regulation of apoptotic process	GO:0042981	119	1454	0.0818	0	119
monoatomic ion transport	GO:0006811	97	1094	0.0887	0	97
heart morphogenesis	GO:0003007	37	243	0.1523	0	37
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	GO:0090092	37	243	0.1523	0	37
regulation of neurogenesis	GO:0050767	52	431	0.1206	0	52
regulation of secretion	GO:0051046	68	655	0.1038	0	68
regulation of programmed cell death	GO:0043067	121	1495	0.0809	0	121
alcohol metabolic process	GO:0006066	44	330	0.1333	0	44
telencephalon development	GO:0021537	39	270	0.1444	0	39
inflammatory response	GO:0006954	72	718	0.1003	0	72
cell activation	GO:0001775	90	994	0.0905	0	90
regulation of cellular response to growth factor stimulus	GO:0090287	41	295	0.139	0	41
muscle structure development	GO:0061061	68	660	0.103	0	68
fatty acid metabolic process	GO:0006631	50	411	0.1217	0	50
lung development	GO:0030324	34	215	0.1581	0	34
hemopoiesis	GO:0030097	84	910	0.0923	0	84
chemotaxis	GO:0006935	47	376	0.125	0	47
intracellular chemical homeostasis	GO:0055082	69	684	0.1009	0	69
respiratory tube development	GO:0030323	34	218	0.156	0	34
sensory system development	GO:0048880	47	377	0.1247	0	47
taxis	GO:0042330	47	377	0.1247	0	47
response to wounding	GO:0009611	56	499	0.1122	0	56
carboxylic acid biosynthetic process	GO:0046394	41	302	0.1358	0	41
regulation of secretion by cell	GO:1903530	62	584	0.1062	0	62
negative regulation of neuron projection development	GO:0010977	28	154	0.1818	0	28
actin filament-based process	GO:0030029	72	735	0.098	0	72
cellular homeostasis	GO:0019725	75	781	0.096	0	75
organic acid biosynthetic process	GO:0016053	41	305	0.1344	0	41
positive regulation of DNA-templated transcription	GO:0045893	124	1580	0.0785	0	124
regulation of cell growth	GO:0001558	49	409	0.1198	0	49
reproductive structure development	GO:0048608	42	319	0.1317	0	42
positive regulation of RNA biosynthetic process	GO:1902680	124	1583	0.0783	0	124
cell-substrate adhesion	GO:0031589	43	332	0.1295	0	43
skeletal system development	GO:0001501	54	479	0.1127	0	54
cardiac muscle tissue development	GO:0048738	35	236	0.1483	0	35
cell surface receptor protein tyrosine kinase signaling pathway	GO:0007169	59	551	0.1071	0	59
response to xenobiotic stimulus	GO:0009410	51	440	0.1159	0	51
positive regulation of RNA metabolic process	GO:0051254	130	1694	0.0767	0	130
cell fate commitment	GO:0045165	35	237	0.1477	0	35
gene expression	GO:0010467	358	6073	0.0589	0	358
response to metal ion	GO:0010038	45	361	0.1247	0	45
negative regulation of transcription by RNA polymerase II	GO:0000122	84	930	0.0903	0	84
leukocyte differentiation	GO:0002521	61	583	0.1046	0	61
epithelial cell development	GO:0002064	33	215	0.1535	0	33
reproductive system development	GO:0061458	42	324	0.1296	0	42
mesenchyme morphogenesis	GO:0072132	16	52	0.3077	0	16
positive regulation of transport	GO:0051050	80	873	0.0916	0	80
ameboidal-type cell migration	GO:0001667	34	229	0.1485	0	34
sensory organ morphogenesis	GO:0090596	37	265	0.1396	0	37
negative regulation of DNA-templated transcription	GO:0045892	102	1231	0.0829	0	102
regulation of developmental growth	GO:0048638	43	342	0.1257	0	43
metal ion transport	GO:0030001	73	772	0.0946	0	73
regulation of cell-cell adhesion	GO:0022407	50	437	0.1144	0	50
transforming growth factor beta receptor superfamily signaling pathway	GO:0141091	41	318	0.1289	0	41
negative regulation of cell projection organization	GO:0031345	32	209	0.1531	0	32
negative regulation of RNA biosynthetic process	GO:1902679	102	1239	0.0823	0	102
response to ketone	GO:1901654	35	245	0.1429	0	35
eye development	GO:0001654	45	372	0.121	0	45
ureteric bud development	GO:0001657	21	96	0.2188	0	21
kidney development	GO:0001822	41	321	0.1277	0	41
regulation of phosphate metabolic process	GO:0019220	80	888	0.0901	0	80
visual system development	GO:0150063	45	374	0.1203	0	45
regulation of phosphorus metabolic process	GO:0051174	80	889	0.09	0	80
mesonephric tubule development	GO:0072164	21	97	0.2165	0	21
mesonephric epithelium development	GO:0072163	21	97	0.2165	0	21
muscle tissue morphogenesis	GO:0060415	18	71	0.2535	0	18
regulation of axonogenesis	GO:0050770	28	168	0.1667	0	28
specification of animal organ identity	GO:0010092	12	29	0.4138	0	12
cartilage development	GO:0051216	30	192	0.1562	0	30
camera-type eye development	GO:0043010	41	326	0.1258	0	41
primary alcohol metabolic process	GO:0034308	21	99	0.2121	0	21
reproductive process	GO:0022414	111	1409	0.0788	0	111
regulation of BMP signaling pathway	GO:0030510	20	90	0.2222	0	20
negative regulation of immune system process	GO:0002683	53	492	0.1077	0	53
regulation of epithelial cell proliferation	GO:0050678	44	368	0.1196	0	44
inner ear morphogenesis	GO:0042472	20	91	0.2198	0	20
regulation of phosphorylation	GO:0042325	72	777	0.0927	0	72
regulation of hormone secretion	GO:0046883	37	279	0.1326	0	37
negative regulation of RNA metabolic process	GO:0051253	106	1332	0.0796	0	106
sex differentiation	GO:0007548	38	292	0.1301	0	38
mesonephros development	GO:0001823	21	101	0.2079	0	21
animal organ formation	GO:0048645	16	58	0.2759	0	16
appendage morphogenesis	GO:0035107	25	141	0.1773	0	25
limb morphogenesis	GO:0035108	25	141	0.1773	0	25
regulation of cellular component size	GO:0032535	44	372	0.1183	0	44
phosphorylation	GO:0016310	106	1338	0.0792	0	106
ear morphogenesis	GO:0042471	22	112	0.1964	0	22
cellular response to xenobiotic stimulus	GO:0071466	28	175	0.16	0	28
negative regulation of growth	GO:0045926	33	233	0.1416	0	33
cardiac ventricle development	GO:0003231	23	122	0.1885	0	23
cell surface receptor protein serine/threonine kinase signaling pathway	GO:0007178	42	348	0.1207	0	42
negative regulation of cell growth	GO:0030308	29	187	0.1551	0	29
smooth muscle cell proliferation	GO:0048659	29	187	0.1551	0	29
response to nutrient	GO:0007584	28	176	0.1591	0	28
regulation of hemopoiesis	GO:1903706	44	376	0.117	0	44
developmental process involved in reproduction	GO:0003006	81	930	0.0871	0	81
monoatomic ion homeostasis	GO:0050801	56	547	0.1024	0	56
cellular response to organic cyclic compound	GO:0071407	55	534	0.103	0	55
regulation of chemotaxis	GO:0050920	30	202	0.1485	0	30
muscle organ morphogenesis	GO:0048644	18	78	0.2308	0	18
regulation of smooth muscle cell proliferation	GO:0048660	28	180	0.1556	0	28
positive regulation of immune system process	GO:0002684	82	961	0.0853	0	82
cellular response to hormone stimulus	GO:0032870	59	601	0.0982	0	59
positive regulation of nervous system development	GO:0051962	40	332	0.1205	0	40
regeneration	GO:0031099	31	220	0.1409	0	31
striated muscle tissue development	GO:0014706	45	403	0.1117	0	45
positive regulation of nucleobase-containing compound metabolic process	GO:0045935	135	1884	0.0717	0	135
chondrocyte differentiation	GO:0002062	21	110	0.1909	0	21
cellular response to BMP stimulus	GO:0071773	25	152	0.1645	0	25
response to BMP	GO:0071772	25	152	0.1645	0	25
regulation of protein metabolic process	GO:0051246	124	1690	0.0734	0	124
negative regulation of response to external stimulus	GO:0032102	44	391	0.1125	0	44
positive regulation of phosphate metabolic process	GO:0045937	56	564	0.0993	0	56
positive regulation of phosphorus metabolic process	GO:0010562	56	564	0.0993	0	56
leukocyte activation	GO:0045321	76	875	0.0869	0	76
gonad development	GO:0008406	33	247	0.1336	0	33
kidney epithelium development	GO:0072073	24	143	0.1678	0	24
response to cytokine	GO:0034097	80	944	0.0847	0	80
actin cytoskeleton organization	GO:0030036	62	659	0.0941	0	62
positive regulation of developmental growth	GO:0048639	28	189	0.1481	0	28
regulation of protein phosphorylation	GO:0001932	66	724	0.0912	0	66
cardiac septum development	GO:0003279	20	103	0.1942	1e-04	20
embryonic limb morphogenesis	GO:0030326	21	113	0.1858	1e-04	21
embryonic appendage morphogenesis	GO:0035113	21	113	0.1858	1e-04	21
prostate gland development	GO:0030850	14	50	0.28	1e-04	14
renal tubule morphogenesis	GO:0061333	17	75	0.2267	1e-04	17
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	GO:0090101	23	134	0.1716	1e-04	23
homophilic cell adhesion via plasma membrane adhesion molecules	GO:0007156	24	145	0.1655	1e-04	24
muscle tissue development	GO:0060537	46	426	0.108	1e-04	46
negative regulation of nucleobase-containing compound metabolic process	GO:0045934	109	1443	0.0755	1e-04	109
development of primary sexual characteristics	GO:0045137	33	252	0.131	1e-04	33
regulation of cell-substrate adhesion	GO:0010810	29	203	0.1429	1e-04	29
odontogenesis	GO:0042476	21	114	0.1842	1e-04	21
striated muscle cell differentiation	GO:0051146	37	304	0.1217	1e-04	37
anterior/posterior pattern specification	GO:0009952	27	180	0.15	1e-04	27
cellular response to lipid	GO:0071396	58	605	0.0959	1e-04	58
renal tubule development	GO:0061326	19	95	0.2	1e-04	19
regulation of cytokine production	GO:0001817	66	730	0.0904	1e-04	66
T cell activation	GO:0042110	51	503	0.1014	1e-04	51
response to peptide	GO:1901652	80	958	0.0835	1e-04	80
stem cell differentiation	GO:0048863	31	230	0.1348	1e-04	31
regulation of muscle cell differentiation	GO:0051147	24	148	0.1622	1e-04	24
neuron projection extension involved in neuron projection guidance	GO:1902284	12	37	0.3243	1e-04	12
axon extension involved in axon guidance	GO:0048846	12	37	0.3243	1e-04	12
regulation of leukocyte differentiation	GO:1902105	36	296	0.1216	1e-04	36
branch elongation of an epithelium	GO:0060602	9	19	0.4737	1e-04	9
regulation of actin filament-based process	GO:0032970	41	364	0.1126	1e-04	41
cytokine production	GO:0001816	66	737	0.0896	1e-04	66
monoatomic cation homeostasis	GO:0055080	53	537	0.0987	1e-04	53
monocarboxylic acid biosynthetic process	GO:0072330	29	208	0.1394	1e-04	29
chordate embryonic development	GO:0043009	65	722	0.09	1e-04	65
positive regulation of neurogenesis	GO:0050769	35	284	0.1232	1e-04	35
BMP signaling pathway	GO:0030509	23	139	0.1655	1e-04	23
response to bacterium	GO:0009617	62	676	0.0917	1e-04	62
cardiac muscle tissue morphogenesis	GO:0055008	15	61	0.2459	1e-04	15
embryo development ending in birth or egg hatching	GO:0009792	66	739	0.0893	1e-04	66
endocrine process	GO:0050886	18	88	0.2045	1e-04	18
regulation of protein localization	GO:0032880	77	917	0.084	1e-04	77
monoatomic cation transport	GO:0006812	76	901	0.0844	1e-04	76
diencephalon development	GO:0021536	16	70	0.2286	1e-04	16
olefinic compound metabolic process	GO:0120254	24	151	0.1589	1e-04	24
positive regulation of growth	GO:0045927	34	273	0.1245	1e-04	34
positive regulation of response to external stimulus	GO:0032103	56	587	0.0954	1e-04	56
inorganic ion transmembrane transport	GO:0098660	68	775	0.0877	1e-04	68
regulation of response to stress	GO:0080134	98	1276	0.0768	1e-04	98
positive regulation of phosphorylation	GO:0042327	51	513	0.0994	1e-04	51
immune response	GO:0006955	108	1452	0.0744	1e-04	108
negative regulation of cellular component organization	GO:0051129	65	729	0.0892	1e-04	65
hormone metabolic process	GO:0042445	30	224	0.1339	1e-04	30
monoatomic ion transmembrane transport	GO:0034220	73	858	0.0851	2e-04	73
regulation of molecular function	GO:0065009	64	714	0.0896	2e-04	64
nephron development	GO:0072006	24	153	0.1569	2e-04	24
regulation of axon extension involved in axon guidance	GO:0048841	11	32	0.3438	2e-04	11
intracellular monoatomic ion homeostasis	GO:0006873	49	486	0.1008	2e-04	49
actin filament organization	GO:0007015	45	429	0.1049	2e-04	45
heart formation	GO:0060914	10	26	0.3846	2e-04	10
negative regulation of nervous system development	GO:0051961	25	166	0.1506	2e-04	25
neuron projection extension	GO:1990138	27	190	0.1421	2e-04	27
sulfur compound metabolic process	GO:0006790	37	319	0.116	2e-04	37
cardiac septum morphogenesis	GO:0060411	15	64	0.2344	2e-04	15
synapse assembly	GO:0007416	27	191	0.1414	2e-04	27
protein phosphorylation	GO:0006468	88	1117	0.0788	2e-04	88
positive regulation of secretion by cell	GO:1903532	37	320	0.1156	2e-04	37
endocrine hormone secretion	GO:0060986	14	56	0.25	2e-04	14
negative regulation of cell-substrate adhesion	GO:0010812	14	56	0.25	2e-04	14
mammary gland morphogenesis	GO:0060443	13	48	0.2708	3e-04	13
inorganic ion homeostasis	GO:0098771	48	478	0.1004	3e-04	48
positive regulation of secretion	GO:0051047	40	363	0.1102	3e-04	40
calcium ion transmembrane transport	GO:0070588	35	295	0.1186	3e-04	35
regulation of cell size	GO:0008361	28	205	0.1366	3e-04	28
urogenital system development	GO:0001655	15	65	0.2308	3e-04	15
muscle system process	GO:0003012	42	393	0.1069	3e-04	42
positive regulation of apoptotic process	GO:0043065	55	586	0.0939	3e-04	55
positive regulation of programmed cell death	GO:0043068	56	602	0.093	3e-04	56
regulation of striated muscle contraction	GO:0006942	17	84	0.2024	3e-04	17
developmental cell growth	GO:0048588	32	257	0.1245	3e-04	32
ventricular cardiac muscle tissue development	GO:0003229	14	57	0.2456	3e-04	14
cell-matrix adhesion	GO:0007160	28	207	0.1353	3e-04	28
regulation of cartilage development	GO:0061035	15	66	0.2273	3e-04	15
